Orientation: 0.00
Index	Theta	Radius	Density

===================================================
Orientation: 10.00
Index	Theta	Radius	Density
54	70.000	15.62	1.0000
55	70.000	15.62	1.0000
56	70.000	15.62	1.0000
57	70.000	15.62	1.0000
58	70.000	15.62	1.0000
59	70.000	15.62	1.0000
60	70.000	15.62	1.0000
61	70.000	15.62	1.0000
62	70.000	15.63	1.0000
63	70.000	15.63	1.0000
64	70.000	15.63	1.0000
65	70.000	15.63	1.0000
66	70.000	15.63	1.0000
67	70.000	15.63	1.0000
68	70.000	15.63	1.0000
69	70.000	15.63	1.0000
70	70.000	15.64	1.0000
71	70.000	15.64	1.0000
72	70.000	15.64	1.0000
73	70.000	15.64	1.0000
74	70.000	15.64	1.0000
75	70.000	15.64	1.0000
76	70.000	15.64	1.0000
77	70.000	15.64	1.0000
78	70.000	15.65	1.0000
79	70.000	15.65	1.0000
80	70.000	15.65	1.0000
81	70.000	15.65	1.0000
82	70.000	15.65	1.0000
83	70.000	15.65	1.0000
84	70.000	15.66	1.0000
85	70.000	15.66	1.0000
86	70.000	15.66	1.0000
87	70.000	15.66	1.0000
88	70.000	15.66	1.0000
89	70.000	15.66	1.0000
90	70.000	15.66	1.0000
91	70.000	15.66	1.0000
92	70.000	15.67	1.0000
93	70.000	15.67	1.0000
94	70.000	15.67	1.0000
95	70.000	15.67	1.0000
96	70.000	15.67	1.0000
97	70.000	15.67	1.0000
98	70.000	15.67	1.0000
99	70.000	15.67	1.0000

===================================================
Orientation: 80.00
Index	Theta	Radius	Density
0	80.000	15.61	1.0000
1	80.000	15.61	1.0000
2	80.000	15.61	1.0000
3	80.000	15.61	1.0000
4	80.000	15.61	1.0000
5	80.000	15.62	1.0000
6	80.000	15.62	1.0000
7	80.000	15.63	1.0000
8	80.000	15.63	1.0000
9	80.000	15.63	1.0000
10	80.000	15.63	1.0000
11	80.000	15.64	1.0000
12	80.000	15.64	1.0000
13	80.000	15.64	1.0000
14	80.000	15.64	1.0000
15	80.000	15.65	1.0000
16	80.000	15.65	1.0000
17	80.000	15.65	1.0000
18	80.000	15.65	1.0000
19	80.000	15.65	1.0000
20	80.000	15.66	1.0000
21	80.000	15.66	1.0000
22	80.000	15.66	1.0000
23	80.000	15.66	1.0000
24	80.000	15.67	1.0000
25	80.000	15.67	1.0000
26	80.000	15.67	1.0000
27	80.000	15.67	1.0000
28	80.000	15.68	1.0000
29	80.000	15.68	1.0000
30	80.000	15.68	1.0000
31	80.000	15.69	1.0000
32	80.000	15.69	1.0000
33	80.000	15.69	1.0000
34	80.000	15.69	1.0000
35	80.000	15.69	1.0000
36	80.000	15.70	1.0000
37	80.000	15.70	1.0000
38	80.000	15.70	1.0000
39	80.000	15.70	1.0000
40	80.000	15.70	1.0000
41	80.000	15.70	1.0000
42	80.000	15.71	1.0000
43	80.000	15.71	1.0000
44	80.000	15.71	1.0000
45	80.000	15.71	1.0000
46	80.000	15.71	1.0000
47	80.000	15.71	1.0000
48	80.000	15.71	1.0000
49	80.000	15.72	1.0000
50	80.000	15.72	1.0000
51	80.000	15.72	1.0000
52	80.000	15.72	1.0000
53	80.000	15.72	1.0000
54	80.000	15.72	1.0000
55	80.000	15.72	1.0000
56	80.000	15.72	1.0000
57	80.000	15.72	1.0000
58	80.000	15.72	1.0000
59	80.000	15.72	1.0000
60	80.000	15.72	1.0000
61	80.000	15.73	1.0000
62	80.000	15.73	1.0000
63	80.000	15.73	1.0000
64	80.000	15.73	1.0000
65	80.000	15.73	1.0000
66	80.000	15.73	1.0000
67	80.000	15.73	1.0000
68	80.000	15.73	1.0000
69	80.000	15.73	1.0000
70	80.000	15.73	1.0000

===================================================
Orientation: 90.00
Index	Theta	Radius	Density

===================================================
